player_id,full_name,status,position,team
7222,Myles Adams,Active,DT,SEA
5075,Ogbonnia Okoronkwo,Active,LB,LAR
7753,Pressley Harvin,Active,P,PIT
5569,Johnny Stanton,Active,FB,CLE
7709,Rashad Weaver,Active,LB,TEN
5539,Derrick Willies,Active,WR,CLE
6790,D'Andre Swift,Active,RB,DET
1777,Josh Hill,Active,TE,DET
1817,Sammy Watkins,Active,WR,BAL
7565,Terrace Marshall,Active,WR,CAR
1134,Tony Bergstrom,Active,C,SF
7903,Briley Moore-McKinney,Inactive,TE,TEN
893,Marcus Gilchrist,Active,FS,BAL
7817,Earnest Brown,Active,DE,LAR
7751,Dax Milne,Active,WR,WAS
7498,Rex Sunahara,Active,LS,MIA
7646,Carlos Basham,Active,DE,BUF
7735,Cary Angeline,Active,TE,ARI
5016,Malik Jefferson,Active,LB,IND
6131,Mack Wilson,Active,LB,CLE
2719,Anthony Harris,Active,DB,PHI
7077,Jacob Bobenmoyer,Active,LS,DEN
358,Andre Smith,Active,OT,BAL
5962,KeeSean Johnson,Active,WR,ARI
6219,Austin Seibert,Active,K,CIN
1700,Jeff Heath,Active,DB,LV
